She go to school every day.	She goes to school every day.
He have been working there for five years.	He has been working there for five years.
I dont know how to fix this problem.	I don't know how to fix this problem.
The cat are sleeping on the couch.	The cat is sleeping on the couch.
We was going to the store yesterday.	We were going to the store yesterday.
She asked me what were my plans.	She asked me what my plans were.
He said that he will come later.	He said that he would come later.
This book is more interesting than him.	This book is more interesting than his.
There is three people waiting outside.	There are three people waiting outside.
I seen that movie last week.	I saw that movie last week.
The team are playing very well this season.	The team is playing very well this season.
Between you and I, I think it's wrong.	Between you and me, I think it's wrong.
Each of the students have completed their work.	Each of the students has completed their work.
The audience were silent during the performance.	The audience was silent during the performance.
Neither of the options are acceptable.	Neither of the options is acceptable.
I could of done better on the exam.	I could have done better on the exam.
Its important to remember these rules.	It's important to remember these rules.
The effect of these changes are significant.	The effect of these changes is significant.
Please advise me on how should I proceed.	Please advise me on how I should proceed.
The results shows that our hypothesis was correct.	The results show that our hypothesis was correct.
Her and me went to the cinema together.	She and I went to the cinema together.
We need to discuss the affects on our business.	We need to discuss the effects on our business.
The data suggests that fewer people are shopping online.	The data suggests that fewer people are shopping online.
Everyone should bring there own lunch to the event.	Everyone should bring their own lunch to the event.
The company decided to open it's new office downtown.	The company decided to open its new office downtown.
I seen her before, but I didnt remember her face.	I saw her before, but I didn't remember her face.
The committee have made they're final decision.	The committee has made its final decision.
Who did you go to the party with?	Whom did you go to the party with?
The principle of the school decided to change the policy.	The principal of the school decided to change the policy.
These kinds of mistakes is common among beginners.	These kinds of mistakes are common among beginners.
The manager asked me whether I was interested in the position.	The manager asked me whether I was interested in the position.
If I was you, I would accept the job offer.	If I were you, I would accept the job offer.
The number of students have increased this year.	The number of students has increased this year.
You should make sure that you've completed you're application.	You should make sure that you've completed your application.
The professor said we should of studied harder.	The professor said we should have studied harder.
Neither Tom nor Mary are going to the conference.	Neither Tom nor Mary is going to the conference.
The quality of these products are very high.	The quality of these products is very high.
Everyone in the class are working on the same project.	Everyone in the class is working on the same project.
I think its better to wait and see what happens.	I think it's better to wait and see what happens.
The information you provided are very useful.	The information you provided is very useful.
She told him the informations she had collected.	She told him the information she had collected.
He gave me many advices on how to improve my writing.	He gave me much advice on how to improve my writing.
The furnitures in the room look very expensive.	The furniture in the room looks very expensive.
We need to buy new equipments for the laboratory.	We need to buy new equipment for the laboratory.
She has a lot of knowledges about history.	She has a lot of knowledge about history.
The staffs at this hotel are very friendly.	The staff at this hotel are very friendly.
Him and her are going to the market later.	He and she are going to the market later.
Me and my sister visited grandma last weekend.	My sister and I visited grandma last weekend.
Us students need more time to finish the assignment.	We students need more time to finish the assignment.
The teacher gave the books to my friend and I.	The teacher gave the books to my friend and me.
Between you and I, the plan seems risky.	Between you and me, the plan seems risky.
Yesterday I to the store went to buy groceries.	Yesterday I went to the store to buy groceries.
In the morning always she checks her email first.	In the morning she always checks her email first.
To the park we on Saturday went.	We went to the park on Saturday.
Only yesterday arrived the package.	The package arrived only yesterday.
Carefully she read the instructions before beginning.	She carefully read the instructions before beginning.
