item_id,tier,input_type,latency_ms,n_corrections,n_expected,tp,fp,fn,error,available
email_001,fast,email,2.75,2,2,1,1,1,,True
email_002,fast,email,0.96,0,0,0,0,0,,True
email_003,fast,email,0.98,0,0,0,0,0,,True
email_004,fast,email,1.64,1,3,1,0,2,,True
email_005,fast,email,0.96,0,1,0,0,1,,True
email_006,fast,email,1.59,1,1,1,0,0,,True
email_007,fast,email,0.91,0,0,0,0,0,,True
email_008,fast,email,0.92,0,1,0,0,1,,True
github_001,fast,github,1.31,1,1,1,0,0,,True
github_002,fast,github,1.48,1,0,0,1,0,,True
github_003,fast,github,0.90,0,0,0,0,0,,True
github_004,fast,github,1.42,1,1,1,0,0,,True
github_005,fast,github,1.58,1,1,1,0,0,,True
github_006,fast,github,0.90,0,1,0,0,1,,True
github_007,fast,github,1.55,1,1,0,1,1,,True
github_008,fast,github,0.91,0,0,0,0,0,,True
slack_001,fast,slack,2.39,2,1,2,0,0,,True
slack_002,fast,slack,0.82,0,0,0,0,0,,True
slack_003,fast,slack,1.44,1,1,1,0,0,,True
slack_004,fast,slack,0.91,0,1,0,0,1,,True
slack_005,fast,slack,0.91,0,1,0,0,1,,True
slack_006,fast,slack,0.93,0,1,0,0,1,,True
slack_007,fast,slack,1.02,0,1,0,0,1,,True
slack_008,fast,slack,0.94,0,1,0,0,1,,True
ai_chat_001,fast,ai_chat,0.93,0,1,0,0,1,,True
ai_chat_002,fast,ai_chat,0.84,0,1,0,0,1,,True
ai_chat_003,fast,ai_chat,0.88,0,1,0,0,1,,True
ai_chat_004,fast,ai_chat,0.85,0,1,0,0,1,,True
ai_chat_005,fast,ai_chat,0.88,0,0,0,0,0,,True
ai_chat_006,fast,ai_chat,0.92,0,1,0,0,1,,True
ai_chat_007,fast,ai_chat,0.93,0,0,0,0,0,,True
ai_chat_008,fast,ai_chat,0.90,0,1,0,0,1,,True
